date,SGLY_Open,SGLY_High,SGLY_Low,SGLY_Close,SGLY_Volume,SGLY_Dividends,SGLY_Stock Splits
2009-05-19 00:00:00+00:00,158.0,164.0,158.0,160.0,46,,
2009-05-20 00:00:00+00:00,165.0,168.5,157.5,157.5,100,,
2009-05-21 00:00:00+00:00,157.5,157.5,157.5,157.5,0,,
2009-05-22 00:00:00+00:00,156.5,157.0,155.0,155.0,138,,
2009-05-26 00:00:00+00:00,162.5,162.5,156.0,156.0,50,,
2009-05-27 00:00:00+00:00,158.0,160.0,147.5,155.0,104,,
2009-05-28 00:00:00+00:00,167.0,170.0,149.0,161.5,700,,
2009-05-29 00:00:00+00:00,160.0,172.5,159.5,170.0,702,,
2009-06-01 00:00:00+00:00,169.0,175.0,162.0,165.0,242,,
2009-06-02 00:00:00+00:00,165.0,167.5,165.0,167.5,44,,
2009-06-03 00:00:00+00:00,162.5,162.5,160.0,160.0,100,,
2009-06-04 00:00:00+00:00,171.5,171.5,164.0,164.0,14,,
2009-06-05 00:00:00+00:00,174.5,174.5,155.5,157.0,90,,
2009-06-08 00:00:00+00:00,157.5,159.5,155.0,155.0,148,,
2009-06-09 00:00:00+00:00,171.5,171.5,155.5,168.5,18,,
2009-06-10 00:00:00+00:00,160.0,172.0,160.0,168.0,52,,
2009-06-11 00:00:00+00:00,163.0,167.0,162.5,162.5,70,,
2009-06-12 00:00:00+00:00,165.0,171.5,155.0,166.0,336,,
2009-06-15 00:00:00+00:00,164.0,165.0,157.5,157.5,134,,
2009-06-16 00:00:00+00:00,167.5,167.5,155.0,157.0,150,,
2009-06-17 00:00:00+00:00,147.5,158.0,138.0,157.0,96,,
2009-06-18 00:00:00+00:00,157.5,159.0,156.5,157.0,28,,
2009-06-19 00:00:00+00:00,144.5,144.5,144.5,144.5,6,,
2009-06-22 00:00:00+00:00,138.5,139.0,138.0,138.0,62,,
2009-06-23 00:00:00+00:00,149.5,149.5,140.0,142.0,288,,
2009-06-24 00:00:00+00:00,157.0,157.0,150.0,150.0,218,,
2009-06-25 00:00:00+00:00,142.5,152.5,142.5,150.0,534,,
2009-06-26 00:00:00+00:00,142.5,142.5,142.5,142.5,4,,
2009-06-29 00:00:00+00:00,150.5,150.5,142.5,145.0,108,,
2009-06-30 00:00:00+00:00,146.5,157.0,138.0,157.0,106,,
2009-07-01 00:00:00+00:00,142.0,142.0,142.0,142.0,4,,
2009-07-02 00:00:00+00:00,140.5,155.0,140.0,140.5,16,,
2009-07-06 00:00:00+00:00,149.5,149.5,141.0,141.0,10,,
2009-07-07 00:00:00+00:00,140.0,140.0,138.0,138.0,24,,
2009-07-08 00:00:00+00:00,125.0,125.5,125.0,125.5,10,,
2009-07-09 00:00:00+00:00,150.0,150.0,127.5,127.5,36,,
2009-07-10 00:00:00+00:00,127.5,140.0,127.5,140.0,72,,
2009-07-13 00:00:00+00:00,126.5,127.0,125.0,125.5,44,,
2009-07-14 00:00:00+00:00,140.0,150.0,125.5,137.5,214,,
2009-07-15 00:00:00+00:00,140.0,140.0,132.5,139.5,116,,
2009-07-16 00:00:00+00:00,135.0,145.0,134.5,137.0,74,,
2009-07-17 00:00:00+00:00,129.0,130.0,129.0,130.0,6,,
2009-07-20 00:00:00+00:00,135.0,144.0,125.0,142.5,282,,
2009-07-21 00:00:00+00:00,128.5,136.0,125.5,133.0,60,,
2009-07-22 00:00:00+00:00,133.0,139.5,126.0,127.5,108,,
2009-07-23 00:00:00+00:00,130.5,142.5,130.5,142.5,92,,
2009-07-24 00:00:00+00:00,130.5,144.0,129.5,137.5,132,,
2009-07-27 00:00:00+00:00,142.5,149.5,140.0,142.5,88,,
2009-07-28 00:00:00+00:00,145.0,148.0,145.0,145.0,82,,
2009-07-29 00:00:00+00:00,147.5,149.5,147.5,147.5,48,,
2009-07-30 00:00:00+00:00,149.5,153.5,147.5,149.5,146,,
2009-07-31 00:00:00+00:00,152.5,153.5,150.0,152.5,108,,
2009-08-03 00:00:00+00:00,153.5,162.0,153.5,162.0,112,,
2009-08-04 00:00:00+00:00,158.5,172.0,158.5,170.0,172,,
2009-08-05 00:00:00+00:00,165.5,167.0,160.0,160.0,28,,
2009-08-06 00:00:00+00:00,160.5,172.5,158.0,158.0,56,,
2009-08-07 00:00:00+00:00,159.0,172.5,157.5,165.5,80,,
2009-08-10 00:00:00+00:00,157.5,172.5,152.0,155.5,108,,
2009-08-11 00:00:00+00:00,155.0,172.0,151.5,165.0,46,,
2009-08-12 00:00:00+00:00,155.0,169.0,152.5,152.5,30,,
2009-08-13 00:00:00+00:00,152.5,158.5,151.5,151.5,194,,
2009-08-14 00:00:00+00:00,158.5,158.5,140.5,150.0,54,,
2009-08-17 00:00:00+00:00,142.0,142.0,140.5,140.5,22,,
2009-08-18 00:00:00+00:00,148.5,160.0,148.5,152.0,46,,
2009-08-19 00:00:00+00:00,150.0,157.0,149.5,149.5,20,,
2009-08-20 00:00:00+00:00,158.5,158.5,155.0,155.0,16,,
2009-08-21 00:00:00+00:00,155.0,170.0,154.0,159.5,124,,
2009-08-24 00:00:00+00:00,160.0,160.0,155.0,155.5,20,,
2009-08-25 00:00:00+00:00,157.0,157.0,156.0,156.0,6,,
2009-08-26 00:00:00+00:00,155.5,157.0,153.5,153.5,28,,
2009-08-27 00:00:00+00:00,149.5,157.5,140.5,157.5,96,,
2009-08-28 00:00:00+00:00,155.0,160.0,154.5,155.0,70,,
2009-08-31 00:00:00+00:00,157.0,157.0,147.0,150.0,24,,
2009-09-01 00:00:00+00:00,149.5,149.5,141.5,141.5,4,,
2009-09-02 00:00:00+00:00,140.5,140.5,140.5,140.5,2,,
2009-09-03 00:00:00+00:00,146.0,148.5,140.0,148.5,78,,
2009-09-04 00:00:00+00:00,150.0,150.0,149.5,150.0,42,,
2009-09-08 00:00:00+00:00,150.0,150.0,150.0,150.0,0,,
2009-09-09 00:00:00+00:00,155.0,159.5,141.0,141.5,134,,
2009-09-10 00:00:00+00:00,158.5,159.5,150.0,154.0,120,,
2009-09-11 00:00:00+00:00,160.0,169.5,155.5,155.5,452,,
2009-09-14 00:00:00+00:00,169.0,169.5,150.5,150.5,158,,
2009-09-15 00:00:00+00:00,159.5,164.5,155.0,155.0,38,,
2009-09-16 00:00:00+00:00,160.0,170.0,155.5,167.0,144,,
2009-09-17 00:00:00+00:00,165.0,183.5,165.0,171.0,474,,
2009-09-18 00:00:00+00:00,183.0,250.0,175.5,229.0,3180,,
2009-09-21 00:00:00+00:00,229.0,247.5,215.0,222.0,814,,
2009-09-22 00:00:00+00:00,224.0,224.0,183.0,192.5,1252,,
2009-09-23 00:00:00+00:00,195.5,210.0,183.0,183.0,260,,
